daily_income,income_stability,goal_type,goal_amount,daily_expense,profile_type,months_to_reach_goal,recommended_daily_saving,discipline_score
329.82,0.69,House Downpayment,781188,162,rural,155.16,67.13,42
331.87,0.77,House Downpayment,929695,95,rural,130.83,94.75,65
955.42,0.62,House Downpayment,734471,199,urban,32.37,302.57,58
109.04,0.94,Emergency Fund,72862,138,student,,,5
236.16,0.96,Education,427832,187,student,290.09,19.66,23
468.95,0.83,Marriage,419529,112,rural,39.18,142.78,75
1721.72,0.86,Education,305299,141,urban,6.44,632.29,94
2052.18,0.78,Bike,70188,147,urban,1.23,762.07,86
584.5,0.7,Emergency Fund,55395,105,urban,3.85,191.8,68
2231.04,0.84,House Downpayment,1569579,120,urban,24.78,844.42,95
187.92,0.72,Bike,130457,132,student,77.76,22.37,25
2186.7,0.74,Gold,91038,147,urban,1.49,815.88,82
381.04,0.88,Gold,84361,110,rural,10.37,108.42,75
174.24,0.99,Gold,188483,115,student,106.06,23.7,40
322.38,0.81,Emergency Fund,140313,108,student,21.82,85.75,64
2686.5,0.9,House Downpayment,1329232,161,urban,17.54,1010.2,100
274.56,0.64,Emergency Fund,145459,100,rural,27.78,69.82,48
264.96,0.72,Education,362894,124,student,85.81,56.38,45
285.69,0.89,Bike,91750,95,student,16.04,76.28,71
427.0,0.7,Education,444015,126,rural,49.17,120.4,59
189.7,0.7,House Downpayment,809356,134,student,484.35,22.28,24
1693.8,0.6,Gold,52602,154,urban,1.14,615.92,65
308.85,0.87,Emergency Fund,69438,88,student,10.48,88.34,74
1135.2,0.6,Marriage,298980,175,urban,10.38,384.08,60
327.36,0.66,Marriage,311543,91,rural,43.94,94.54,57
1171.96,0.83,Marriage,226977,119,urban,7.19,421.18,89
2289.87,0.99,House Downpayment,842957,132,urban,13.02,863.15,100
331.65,0.99,Bike,139543,173,rural,29.32,63.46,56
775.8,0.9,House Downpayment,610070,147,urban,32.34,251.52,87
1517.04,0.63,Bike,51696,171,urban,1.28,538.42,67
1084.93,0.77,Emergency Fund,64861,125,urban,2.25,383.97,81
1352.18,0.97,Bike,101673,141,urban,2.8,484.47,100
2566.8,0.93,Emergency Fund,65283,143,urban,0.9,969.52,100
419.16,0.84,Bike,78018,136,rural,9.18,113.26,68
370.5,0.95,Education,275945,119,student,36.57,100.6,77
2005.5,0.7,Bike,86362,134,urban,1.54,748.6,78
1552.32,0.77,Bike,68922,91,urban,1.57,584.53,86
277.38,0.67,Gold,269405,136,student,63.52,56.55,40
390.63,0.87,Marriage,588018,129,rural,74.92,104.65,69
170.8,0.61,Education,226558,127,student,172.42,17.52,18
531.32,0.74,Emergency Fund,84422,138,rural,7.15,157.33,65
434.56,0.64,Education,322906,125,rural,34.77,123.82,54
178.6,0.76,Gold,174137,126,student,110.35,21.04,26
578.55,0.87,Education,204903,110,rural,14.58,187.42,84
429.0,0.75,Emergency Fund,31159,132,rural,3.5,118.8,62
2351.04,0.79,Emergency Fund,94254,126,urban,1.41,890.02,89
171.81,0.83,House Downpayment,1041833,136,student,969.78,14.32,20
997.89,0.93,Gold,295402,144,urban,11.53,341.56,95
260.82,0.69,Bike,57426,124,student,13.99,54.73,43
340.87,0.89,Gold,171923,138,rural,28.25,81.15,63
389.82,0.89,Bike,87873,97,rural,10.0,117.13,80
303.78,0.83,Marriage,251826,133,student,49.15,68.31,55
276.75,0.75,Education,374157,152,rural,99.98,49.9,40
746.03,0.61,Gold,40664,92,urban,2.07,261.61,64
277.2,0.66,Bike,116178,100,rural,21.85,70.88,50
1650.53,0.73,Education,350167,110,urban,7.58,616.21,81
380.97,0.83,Gold,114001,178,student,18.72,81.19,53
2229.45,0.89,Emergency Fund,46910,119,urban,0.74,844.18,100
905.08,0.68,Bike,98638,130,urban,4.24,310.03,69
643.28,0.88,House Downpayment,702772,124,rural,45.11,207.71,85
401.28,0.88,Gold,296846,156,rural,40.34,98.11,64
1371.37,0.91,Emergency Fund,103884,107,urban,2.74,505.75,100
792.48,0.78,Education,189539,125,urban,9.47,266.99,78
201.6,0.7,Marriage,741344,114,student,282.09,35.04,36
280.35,0.63,Marriage,475819,141,student,113.82,55.74,37
307.56,0.66,Education,300288,131,student,56.69,70.62,45
316.59,0.61,Bike,103941,138,rural,19.4,71.44,41
192.4,0.65,House Downpayment,1423710,126,student,714.71,26.56,26
704.88,0.99,Education,333094,147,rural,19.9,223.15,94
307.04,0.76,Bike,66248,150,student,14.06,62.82,46
1380.0,0.69,Bike,114474,99,urban,2.98,512.4,76
2439.71,0.91,Marriage,663687,101,urban,9.46,935.48,100
1913.06,0.82,Gold,168355,126,urban,3.14,714.82,91
1862.52,0.83,Education,493921,145,urban,9.59,687.01,91
372.48,0.97,Education,171200,112,student,21.91,104.19,81
414.9,0.9,Marriage,454645,126,student,52.46,115.56,75
1567.36,0.79,Marriage,414634,151,urban,9.76,566.54,85
1914.0,0.88,House Downpayment,995705,115,urban,18.45,719.6,99
992.88,0.72,Education,435479,154,urban,17.3,335.55,72
1096.8,0.8,Education,329090,140,urban,11.46,382.72,83
96.9,0.95,House Downpayment,691889,132,student,,,5
2279.97,0.99,Bike,67499,92,urban,1.03,875.19,100
250.39,0.73,Bike,81416,106,student,18.8,57.76,50
686.43,0.87,Emergency Fund,29262,133,rural,1.76,221.37,84
812.25,0.95,House Downpayment,1393947,122,urban,67.32,276.1,96
1973.76,0.96,Education,486824,158,urban,8.94,726.3,100
273.02,0.73,Emergency Fund,77991,151,student,21.31,48.81,39
262.28,0.79,Emergency Fund,44175,128,rural,10.97,53.71,48
1786.4,0.8,Education,131450,158,urban,2.69,651.36,87
308.88,0.72,Gold,112361,130,rural,20.94,71.55,50
1104.48,0.72,Education,389796,113,urban,13.1,396.59,77
1612.62,0.62,House Downpayment,1294071,152,urban,29.53,584.25,67
214.2,0.7,Emergency Fund,101511,123,rural,37.1,36.48,35
1255.68,0.72,Emergency Fund,133274,164,urban,4.07,436.67,75
1927.92,0.87,Education,268649,113,urban,4.93,725.97,98
1934.4,0.93,Bike,135865,170,urban,2.57,705.76,100
2338.56,0.96,Gold,138595,170,urban,2.13,867.42,100
229.14,0.67,Gold,141829,95,rural,35.24,53.66,47
380.8,0.85,Emergency Fund,54470,158,rural,8.15,89.12,59
1351.15,0.61,Bike,124718,169,urban,3.52,472.86,64
1277.37,0.83,Emergency Fund,105135,147,urban,3.1,452.15,88
154.5,0.75,Marriage,433651,142,student,1156.4,5.0,7
405.12,0.64,House Downpayment,783579,111,rural,88.8,117.65,55
619.65,0.81,Gold,245776,107,rural,15.98,205.06,80
1339.2,0.9,Gold,246716,124,urban,6.77,486.08,98
334.32,0.84,Marriage,709307,117,rural,108.8,86.93,65
363.6,0.9,House Downpayment,1811429,119,student,246.86,97.84,72
655.14,0.61,House Downpayment,592917,148,urban,38.97,202.86,56
239.04,0.96,Education,346805,104,student,85.61,54.02,65
315.92,0.88,Bike,105991,166,student,23.57,59.97,50
1799.01,0.81,House Downpayment,1442049,144,urban,29.04,662.0,89
375.96,0.78,Emergency Fund,127806,119,student,16.58,102.78,63
533.4,0.7,Gold,152629,100,rural,11.74,173.36,68
628.56,0.72,Bike,60154,118,urban,3.93,204.22,70
389.61,0.81,House Downpayment,1148702,116,student,139.94,109.44,68
307.94,0.89,Marriage,342923,166,student,80.53,56.78,49
327.0,0.75,Marriage,508449,180,student,115.29,58.8,40
337.64,0.92,Emergency Fund,100485,123,rural,15.61,85.86,70
1295.7,0.7,Gold,108292,87,urban,2.99,483.48,78
2129.1,0.94,House Downpayment,1564497,115,urban,25.89,805.64,100
2753.28,0.96,Marriage,742364,116,urban,9.38,1054.91,100
426.87,0.81,Bike,112658,145,rural,13.32,112.75,64
269.34,0.67,Emergency Fund,59457,118,student,13.1,60.54,45
1718.4,0.96,Marriage,740280,106,urban,15.3,644.96,100
289.56,0.76,House Downpayment,989221,88,student,163.59,80.62,63
342.72,0.72,Gold,83980,115,rural,12.29,91.09,57
721.8,0.9,House Downpayment,879733,126,urban,49.22,238.32,89
544.6,0.7,Education,159076,134,rural,12.91,164.24,63
300.3,0.91,Marriage,213722,97,rural,35.04,81.32,73
230.1,0.65,Bike,98887,135,student,34.66,38.04,32
1062.66,0.89,Education,156404,152,urban,5.72,364.26,91
196.67,0.71,Gold,149332,156,student,122.39,16.27,17
477.52,0.94,Education,290432,141,rural,28.77,134.61,79
375.36,0.96,Education,142974,141,student,20.34,93.74,71
82.0,0.82,House Downpayment,1520846,162,student,,,5
810.6,0.84,House Downpayment,1611720,134,urban,79.4,270.64,84
250.25,0.77,Gold,183433,128,rural,50.02,48.9,45
1779.18,0.78,Emergency Fund,87779,121,urban,1.76,663.27,87
375.06,0.94,Bike,117691,124,student,15.63,100.42,75
597.52,0.88,Gold,110197,109,rural,7.52,195.41,86
796.48,0.76,Emergency Fund,55354,109,urban,2.68,274.99,78
939.52,0.64,Marriage,648189,125,urban,26.53,325.81,66
360.36,0.99,Bike,112471,84,student,13.57,110.54,91
895.68,0.72,House Downpayment,1066278,155,urban,47.99,296.27,71
510.4,0.88,Education,162996,150,rural,15.08,144.16,74
1628.8,0.64,Education,159343,156,urban,3.61,589.12,69
1810.38,0.78,Emergency Fund,74989,149,urban,1.5,664.55,85
311.88,0.69,Bike,119576,88,rural,17.8,89.55,59
1409.44,0.92,Education,413165,101,urban,10.53,523.38,100
400.4,0.88,Bike,65539,131,rural,8.11,107.76,71
1919.4,0.7,Gold,158417,126,urban,2.94,717.36,78
1750.28,0.98,Gold,221708,117,urban,4.52,653.31,100
369.92,0.68,Emergency Fund,100358,122,rural,13.49,99.17,54
1391.75,0.95,Bike,60448,144,urban,1.61,499.1,100
297.0,0.75,Bike,143621,125,student,27.83,68.8,52
384.46,0.94,Marriage,552493,171,student,86.28,85.38,62
1639.32,0.76,Emergency Fund,90867,99,urban,1.97,616.13,85
2367.58,0.86,Emergency Fund,47344,128,urban,0.7,895.83,97
195.03,0.99,House Downpayment,1170477,98,student,402.1,38.81,59
117.86,0.83,Bike,68617,146,student,,,5
398.4,0.8,Gold,258643,152,rural,34.99,98.56,59
1236.76,0.98,Education,442226,157,urban,13.65,431.9,100
2573.41,0.97,Gold,109384,152,urban,1.51,968.56,100
115.6,0.85,Emergency Fund,43362,178,student,,,5
382.4,0.8,Bike,118270,114,rural,14.69,107.36,67
144.48,0.84,Bike,77299,155,student,,,5
1758.65,0.85,Education,226179,143,urban,4.67,646.26,93
166.44,0.76,Emergency Fund,144405,173,student,,,5
381.22,0.98,House Downpayment,1324151,108,student,161.55,109.29,84
658.02,0.66,Education,391782,134,urban,24.92,209.61,63
405.48,0.93,Emergency Fund,29787,159,rural,4.03,98.59,67
