daily_income,daily_expense,goal_type,goal_amount,daily_saving_capacity,recommended_daily_saving,months_to_reach_goal,profile_type
2062,292,House Downpayment,1638224,1770.0,825.56,31.13,rural
1627,1392,Gold,93825,235.0,101.27,14.52,rural
672,149,House Downpayment,1723245,523.0,200.59,116.06,rural
379,265,Gold,269391,114.0,52.71,72.94,rural
1576,522,Bike,97444,1054.0,396.01,3.09,student
2624,2355,House Downpayment,1922044,269.0,100.25,234.42,rural
822,289,Bike,50105,533.0,222.04,2.84,rural
1034,777,Bike,120760,257.0,107.23,16.71,urban
1638,286,Marriage,560439,1352.0,527.35,14.68,rural
412,326,House Downpayment,1377793,86.0,31.29,537.23,student
2334,461,Gold,272968,1873.0,703.99,5.27,urban
2684,2225,Emergency Fund,147441,459.0,149.32,9.95,rural
303,249,Education,276931,54.0,19.33,162.59,rural
579,518,Bike,99076,61.0,23.15,52.74,rural
1291,211,Marriage,637890,1080.0,354.22,20.24,rural
814,101,Gold,218530,713.0,328.83,9.67,urban
1498,505,Marriage,602507,993.0,456.58,19.1,student
1817,692,Bike,142011,1125.0,531.08,3.98,student
334,201,Bike,54268,133.0,46.68,14.7,rural
479,111,Marriage,797245,368.0,168.91,78.1,rural
312,129,Emergency Fund,21163,183.0,81.53,4.0,student
2896,1242,Bike,62516,1654.0,559.76,1.26,urban
1793,1579,Emergency Fund,93206,214.0,76.75,13.64,student
2944,2094,Gold,74093,850.0,347.6,2.69,rural
2731,1223,House Downpayment,504124,1508.0,602.03,11.97,student
2344,731,Bike,78857,1613.0,707.68,1.59,student
2852,211,Emergency Fund,118092,2641.0,1095.01,1.46,rural
1218,237,Gold,85018,981.0,408.55,3.17,student
2279,1789,Bike,89260,490.0,160.73,5.68,urban
1255,744,Bike,93157,511.0,234.28,6.57,urban
572,285,Bike,51718,287.0,130.37,5.84,student
476,240,Emergency Fund,88893,236.0,99.73,11.92,student
716,155,Education,239054,561.0,187.13,13.26,rural
1786,1010,Gold,163655,776.0,290.29,6.58,urban
931,617,Education,320163,314.0,148.42,35.01,student
855,421,Marriage,317829,434.0,172.53,22.0,rural
2752,1337,House Downpayment,795639,1415.0,515.91,18.61,urban
